lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
10.0,10.67,0.94,1260.0,1566.0,0.8,4.0,1.0,4.0,1,6,0.17,0.0
9.0,18.0,0.5,1280.0,3840.0,0.33,4.0,8.0,0.5,1,1,1.0,0.0
18.0,7.0,2.57,4860.0,672.0,7.23,8.0,4.0,2.0,1,1,1.0,1.0
16.0,14.0,1.14,2940.0,2880.0,1.02,1.0,6.0,0.17,1,1,1.0,0.0
5.0,3.0,1.67,480.0,288.0,1.67,1.0,2.0,0.5,1,1,1.0,1.0
11.2,9.57,1.17,1862.0,1191.71,1.56,5.2,1.0,5.2,5,7,0.71,1.0
1.0,9.67,0.1,162.0,2529.33,0.06,1.0,4.5,0.22,1,6,0.17,0.0
13.0,14.0,0.93,2160.0,2352.0,0.92,6.0,6.0,1.0,1,1,1.0,1.0
6.86,12.33,0.56,857.43,2360.0,0.36,3.43,5.33,0.64,7,3,2.33,1.0
14.0,16.0,0.88,1800.0,3360.0,0.54,6.0,7.0,0.86,1,1,1.0,0.0
16.33,7.8,2.09,3252.67,1418.0,2.29,7.33,1.0,7.33,3,5,0.6,1.0
8.0,3.0,2.67,980.0,288.0,3.4,4.0,1.0,4.0,1,1,1.0,1.0
20.0,7.67,2.61,5120.0,1520.33,3.37,1.0,3.67,0.27,1,3,0.33,0.0
10.0,10.0,1.0,1120.0,1570.0,0.71,4.0,4.67,0.86,1,3,0.33,0.0
18.0,13.0,1.38,4860.0,2058.0,2.36,8.0,6.0,1.33,1,1,1.0,1.0
16.0,11.0,1.45,3072.0,1890.0,1.63,7.0,5.0,1.4,1,1,1.0,1.0
19.0,17.0,1.12,4032.0,3240.0,1.24,9.0,8.0,1.12,1,1,1.0,0.0
12.0,10.88,1.1,3012.2,1673.88,1.8,5.6,5.0,1.12,5,8,0.62,0.0
10.75,12.5,0.86,1629.5,3173.67,0.51,5.25,5.83,0.9,4,6,0.67,0.0
10.0,10.0,1.0,1661.6,1900.0,0.87,4.8,4.67,1.03,5,3,1.67,1.0
20.0,7.0,2.86,4704.0,1008.0,4.67,9.0,4.0,2.25,1,1,1.0,1.0
6.0,7.0,0.86,560.0,672.0,0.83,3.0,4.0,0.75,1,1,1.0,0.0
12.17,11.25,1.08,2332.33,1900.5,1.23,1.0,5.25,0.19,6,4,1.5,1.0
1.0,4.0,0.25,192.0,400.0,0.48,1.0,2.0,0.5,1,1,1.0,0.0
1.0,20.0,0.05,180.0,3840.0,0.05,1.0,1.0,1.0,1,1,1.0,0.0
10.67,13.0,0.82,1942.67,2139.0,0.91,5.0,6.0,0.83,3,4,0.75,0.0
9.0,9.14,0.98,980.0,1397.14,0.7,1.0,4.29,0.23,1,7,0.14,0.0
13.4,8.0,1.68,2465.4,1270.88,1.94,6.2,3.75,1.65,5,8,0.62,1.0
17.0,18.0,0.94,3150.0,3558.0,0.89,1.0,1.0,1.0,1,2,0.5,0.0
10.0,10.62,0.94,1260.0,2534.0,0.5,1.0,5.25,0.19,1,8,0.12,0.0
4.0,20.0,0.2,360.0,6500.0,0.06,1.0,9.0,0.11,1,1,1.0,0.0
8.0,7.0,1.14,875.0,700.0,1.25,4.0,1.0,4.0,1,1,1.0,1.0
8.0,13.0,0.62,1152.0,1560.0,0.74,4.0,6.0,0.67,1,1,1.0,0.0
9.0,18.0,0.5,1008.0,5292.0,0.19,1.0,8.0,0.12,1,1,1.0,0.0
4.0,6.86,0.58,375.0,1104.0,0.34,2.0,3.43,0.58,1,7,0.14,0.0
17.0,19.0,0.89,3150.0,4212.0,0.75,1.0,9.0,0.11,1,1,1.0,0.0
19.0,17.0,1.12,4312.0,3150.0,1.37,9.0,1.0,9.0,1,1,1.0,1.0
2.0,9.0,0.22,240.0,1177.2,0.2,1.0,4.2,0.24,1,5,0.2,0.0
9.86,10.14,0.97,1897.14,1889.43,1.0,4.71,4.71,1.0,7,7,1.0,0.0
6.0,6.0,1.0,560.0,600.0,0.93,3.0,1.0,3.0,1,1,1.0,0.0
6.0,10.0,0.6,822.67,1196.0,0.69,3.0,1.0,3.0,3,3,1.0,0.0
11.43,18.5,0.62,1808.57,4200.0,0.43,1.0,8.5,0.12,7,2,3.5,1.0
10.0,1.0,10.0,1080.0,180.0,6.0,4.0,1.0,4.0,1,1,1.0,1.0
20.0,1.0,20.0,5040.0,192.0,26.25,9.0,1.0,9.0,1,1,1.0,1.0
19.0,10.0,1.9,3250.0,1861.12,1.75,9.0,4.62,1.95,1,8,0.12,0.0
8.75,7.8,1.12,1474.12,1119.2,1.32,4.25,3.4,1.25,8,5,1.6,1.0
11.0,19.0,0.58,1890.0,4050.0,0.47,5.0,9.0,0.56,1,1,1.0,0.0
14.0,11.14,1.26,2570.0,1948.14,1.32,6.67,5.29,1.26,3,7,0.43,0.0
7.0,16.0,0.44,640.0,2560.0,0.25,1.0,7.0,0.14,1,1,1.0,0.0
15.0,4.0,3.75,2520.0,336.0,7.5,7.0,2.0,3.5,1,1,1.0,1.0
3.0,9.0,0.33,300.0,1050.0,0.29,2.0,1.0,2.0,1,1,1.0,0.0
14.0,3.0,4.67,2268.0,270.0,8.4,6.0,2.0,3.0,1,1,1.0,1.0
8.0,3.0,2.67,720.0,315.0,2.29,1.0,2.0,0.5,1,2,0.5,1.0
3.67,15.0,0.24,474.0,3528.0,0.13,2.0,7.0,0.29,3,1,3.0,0.0
8.0,19.0,0.42,875.0,3360.0,0.26,4.0,9.0,0.44,1,1,1.0,0.0
16.0,1.0,16.0,3969.0,180.0,22.05,7.0,1.0,7.0,1,1,1.0,1.0
16.0,1.0,16.0,2700.0,192.0,14.06,1.0,1.0,1.0,1,1,1.0,1.0
9.0,15.0,0.6,1050.0,2268.0,0.46,4.0,7.0,0.57,1,1,1.0,0.0
19.0,20.0,0.95,4224.0,6000.0,0.7,9.0,9.0,1.0,1,1,1.0,0.0
9.33,10.33,0.9,1381.0,1713.33,0.81,4.33,4.67,0.93,6,6,1.0,1.0
14.2,8.4,1.69,3221.6,1265.4,2.55,6.4,4.0,1.6,5,5,1.0,1.0
9.0,12.0,0.75,980.0,1512.0,0.65,1.0,5.0,0.2,1,1,1.0,0.0
10.0,18.0,0.56,1200.0,3300.0,0.36,1.0,8.0,0.12,1,1,1.0,0.0
6.0,3.0,2.0,875.0,320.0,2.73,3.0,2.0,1.5,1,1,1.0,0.0
16.0,10.0,1.6,2520.0,1400.0,1.8,7.0,4.0,1.75,1,1,1.0,1.0
5.0,11.0,0.45,500.0,1260.0,0.4,3.0,5.0,0.6,1,1,1.0,0.0
6.0,3.0,2.0,576.0,300.0,1.92,3.0,2.0,1.5,1,1,1.0,1.0
5.0,12.29,0.41,420.0,2080.86,0.2,3.0,5.71,0.53,1,7,0.14,0.0
5.0,19.0,0.26,450.0,4840.0,0.09,3.0,9.0,0.33,1,1,1.0,0.0
14.0,14.5,0.97,2430.0,2350.0,1.03,6.0,1.0,6.0,1,2,0.5,0.0
1.0,6.0,0.17,180.0,560.0,0.32,1.0,1.0,1.0,1,1,1.0,0.0
5.0,7.0,0.71,450.0,720.0,0.62,1.0,4.0,0.25,1,1,1.0,0.0
5.0,10.71,0.47,480.0,1656.86,0.29,3.0,1.0,3.0,1,7,0.14,0.0
6.14,14.67,0.42,858.86,2776.67,0.31,3.14,1.0,3.14,7,3,2.33,1.0
11.0,14.8,0.74,2179.17,3444.8,0.63,5.33,7.0,0.76,6,5,1.2,0.0
12.0,11.12,1.08,1464.0,2207.5,0.66,5.5,5.12,1.07,2,8,0.25,0.0
10.0,2.0,5.0,1120.0,225.0,4.98,4.0,1.0,4.0,1,1,1.0,1.0
1.0,11.33,0.09,180.0,2019.33,0.09,1.0,5.33,0.19,1,3,0.33,0.0
12.86,10.6,1.21,2523.14,2292.4,1.1,5.86,4.8,1.22,7,5,1.4,1.0
19.0,13.0,1.46,5376.0,2440.0,2.2,9.0,1.0,9.0,1,3,0.33,0.0
9.0,5.0,1.8,800.0,750.0,1.07,1.0,3.0,0.33,1,1,1.0,1.0
3.0,14.0,0.21,300.0,2592.0,0.12,2.0,6.0,0.33,1,1,1.0,0.0
7.0,17.0,0.41,720.0,2940.0,0.24,1.0,8.0,0.12,1,1,1.0,0.0
9.0,8.0,1.12,1400.0,1152.0,1.22,4.0,4.0,1.0,1,1,1.0,0.0
9.5,9.5,1.0,1232.0,1703.0,0.72,1.0,4.5,0.22,4,2,2.0,1.0
14.0,12.5,1.12,2592.0,1638.0,1.58,6.0,5.5,1.09,1,2,0.5,0.0
18.0,16.0,1.12,3168.0,2800.0,1.13,1.0,7.0,0.14,1,1,1.0,0.0
10.5,14.33,0.73,1248.0,2872.33,0.43,4.5,6.67,0.67,2,3,0.67,0.0
18.0,13.0,1.38,6240.0,2184.0,2.86,8.0,6.0,1.33,1,1,1.0,1.0
7.0,6.17,1.13,640.0,774.17,0.83,4.0,3.0,1.33,1,6,0.17,0.0
20.0,14.0,1.43,4928.0,2592.0,1.9,9.0,6.0,1.5,1,1,1.0,0.0
18.0,5.0,3.6,5040.0,500.0,10.08,8.0,1.0,8.0,1,1,1.0,1.0
6.0,10.0,0.6,600.0,1296.0,0.46,3.0,4.0,0.75,1,1,1.0,0.0
17.0,11.75,1.45,3402.0,2090.0,1.63,1.0,5.25,0.19,1,4,0.25,0.0
18.0,1.0,18.0,4032.0,180.0,22.4,8.0,1.0,8.0,1,1,1.0,1.0
1.33,13.14,0.1,196.0,2458.86,0.08,1.0,6.14,0.16,3,7,0.43,0.0
3.0,13.0,0.23,320.0,1890.0,0.17,1.0,6.0,0.17,1,1,1.0,0.0
10.0,4.0,2.5,1260.0,420.0,3.0,1.0,2.0,0.5,1,1,1.0,1.0
15.0,8.67,1.73,2880.0,1164.67,2.47,7.0,3.83,1.83,1,6,0.17,0.0
4.0,17.0,0.24,375.0,2592.0,0.14,1.0,8.0,0.12,1,1,1.0,0.0
14.0,10.8,1.3,2100.0,2157.2,0.97,6.0,5.0,1.2,1,5,0.2,0.0
16.0,8.0,2.0,3024.0,756.0,4.0,1.0,1.0,1.0,1,1,1.0,1.0
6.0,6.0,1.0,720.0,625.0,1.15,3.0,3.0,1.0,1,1,1.0,1.0
20.0,18.0,1.11,4800.0,3888.0,1.23,1.0,1.0,1.0,1,1,1.0,1.0
3.0,14.0,0.21,288.0,2304.0,0.12,1.0,6.0,0.17,1,1,1.0,0.0
8.0,9.0,0.89,900.0,1536.0,0.59,4.0,4.0,1.0,1,1,1.0,1.0
9.0,13.0,0.69,1289.43,1960.0,0.66,4.140000000000001,6.0,0.69,7,1,7.0,1.0
9.29,13.5,0.69,2156.57,2198.0,0.98,4.29,1.0,4.29,7,2,3.5,1.0
11.5,13.0,0.88,2276.0,1960.0,1.16,5.0,6.0,0.83,2,1,2.0,1.0
10.71,10.25,1.04,1592.86,1603.75,0.99,4.859999999999999,1.0,4.86,7,4,1.75,1.0
16.0,20.0,0.8,2835.0,4800.0,0.59,7.0,9.0,0.78,1,1,1.0,0.0
8.0,14.2,0.56,720.0,2805.6,0.26,1.0,6.4,0.16,1,5,0.2,0.0
18.0,7.8,2.31,4620.0,925.6,4.99,8.0,1.0,8.0,1,5,0.2,0.0
12.0,10.88,1.1,1728.0,2080.25,0.83,5.0,5.0,1.0,1,8,0.12,0.0
6.0,10.25,0.59,746.0,2221.25,0.34,1.0,5.0,0.2,3,8,0.38,0.0
8.0,11.0,0.73,840.0,1512.0,0.56,4.0,5.0,0.8,1,1,1.0,0.0
13.0,19.0,0.68,2560.0,4536.0,0.56,6.0,1.0,6.0,1,1,1.0,1.0
9.0,7.0,1.29,840.0,1415.0,0.59,4.0,3.25,1.23,1,4,0.25,0.0
11.0,4.0,2.75,2434.5,448.0,5.43,5.0,2.25,2.22,4,4,1.0,1.0
9.0,8.57,1.05,1050.0,1265.14,0.83,1.0,4.29,0.23,1,7,0.14,0.0
2.0,7.0,0.29,256.0,630.0,0.41,1.0,4.0,0.25,1,1,1.0,0.0
16.0,13.4,1.19,2340.0,1880.2,1.24,7.0,1.0,7.0,1,5,0.2,0.0
7.0,11.0,0.64,672.0,2304.0,0.29,4.0,5.0,0.8,1,1,1.0,0.0
1.0,12.86,0.08,180.0,2309.14,0.08,1.0,5.86,0.17,1,7,0.14,0.0
12.0,13.12,0.91,2384.86,3053.0,0.78,5.43,6.25,0.87,7,8,0.88,0.0
2.0,5.0,0.4,240.0,480.0,0.5,1.0,3.0,0.33,1,1,1.0,0.0
7.0,15.0,0.47,960.0,2450.0,0.39,4.0,7.0,0.57,1,1,1.0,0.0
18.0,10.0,1.8,3600.0,1522.0,2.37,8.0,4.67,1.71,1,3,0.33,0.0
16.5,10.83,1.52,3282.75,2044.5,1.61,7.5,5.17,1.45,4,6,0.67,0.0
6.6,11.0,0.6,822.0,1347.0,0.61,1.0,1.0,1.0,5,2,2.5,1.0
4.0,19.0,0.21,315.0,4032.0,0.08,2.0,9.0,0.22,1,1,1.0,0.0
16.0,12.75,1.25,4914.0,2100.0,2.34,7.0,1.0,7.0,1,4,0.25,0.0
8.0,14.0,0.57,1050.0,1680.0,0.62,4.0,6.0,0.67,1,1,1.0,0.0
9.38,3.0,3.13,2231.0,288.0,7.75,4.5,2.0,2.25,8,1,8.0,1.0
1.0,8.0,0.12,180.0,1439.33,0.13,1.0,3.83,0.26,1,6,0.17,0.0
5.0,11.12,0.45,420.0,1573.12,0.27,1.0,1.0,1.0,1,8,0.12,0.0
12.0,11.0,1.09,2016.0,1458.0,1.38,5.0,5.0,1.0,1,1,1.0,1.0
10.0,12.25,0.82,1260.0,2283.75,0.55,1.0,5.62,0.18,1,8,0.12,0.0
7.25,9.83,0.74,1377.0,1487.33,0.93,3.5,1.0,3.5,4,6,0.67,0.0
7.0,10.71,0.65,828.0,1668.14,0.5,3.5,4.859999999999999,0.72,2,7,0.29,0.0
16.0,10.0,1.6,3024.0,1260.0,2.4,7.0,4.0,1.75,1,1,1.0,1.0
17.0,12.88,1.32,3168.0,2943.12,1.08,8.0,5.88,1.36,1,8,0.12,0.0
15.0,7.83,1.92,3564.0,1441.5,2.47,7.0,4.0,1.75,2,6,0.33,0.0
9.83,13.67,0.72,1835.5,3444.0,0.53,4.67,6.33,0.74,6,3,2.0,1.0
1.0,2.0,0.5,180.0,240.0,0.75,1.0,1.0,1.0,1,1,1.0,1.0
13.0,9.0,1.44,2880.0,1260.0,2.29,6.0,4.0,1.5,1,1,1.0,1.0
10.0,11.0,0.91,1176.0,1903.2,0.62,4.0,5.2,0.77,1,5,0.2,0.0
12.0,13.5,0.89,2813.0,1974.0,1.43,5.5,1.0,5.5,4,2,2.0,1.0
10.5,7.0,1.5,1300.0,1048.0,1.24,1.0,3.5,0.29,2,4,0.5,0.0
11.0,13.0,0.85,1800.0,2016.0,0.89,5.0,6.0,0.83,1,1,1.0,0.0
13.0,17.0,0.76,1944.0,4536.0,0.43,6.0,8.0,0.75,1,1,1.0,0.0
13.0,8.17,1.59,1800.0,1246.0,1.44,6.0,3.67,1.63,1,6,0.17,0.0
19.0,12.0,1.58,4608.0,1600.0,2.88,1.0,5.0,0.2,1,1,1.0,1.0
15.0,16.0,0.94,2520.0,3328.0,0.76,1.0,7.0,0.14,1,1,1.0,0.0
2.0,6.0,0.33,240.0,800.0,0.3,1.0,3.0,0.33,1,1,1.0,0.0
4.0,14.5,0.28,480.0,2429.0,0.2,2.0,6.5,0.31,1,2,0.5,0.0
17.0,11.5,1.48,2816.0,2369.25,1.19,8.0,5.25,1.52,1,8,0.12,0.0
5.0,14.33,0.35,720.0,2820.0,0.26,3.0,7.0,0.43,1,3,0.33,0.0
10.75,9.0,1.19,2412.75,1211.25,1.99,5.12,4.0,1.28,8,4,2.0,1.0
12.0,18.0,0.67,1620.0,3920.0,0.41,5.0,1.0,5.0,1,1,1.0,1.0
10.6,13.5,0.79,1928.0,2811.0,0.69,4.8,5.75,0.83,5,4,1.25,0.0
11.0,6.0,1.83,1350.0,525.0,2.57,5.0,1.0,5.0,1,1,1.0,1.0
4.0,5.0,0.8,360.0,576.0,0.62,2.0,3.0,0.67,1,1,1.0,0.0
12.0,7.0,1.71,1512.0,640.0,2.36,5.0,1.0,5.0,1,1,1.0,1.0
11.0,12.83,0.86,1827.0,2753.5,0.66,5.0,5.83,0.86,5,6,0.83,0.0
12.0,20.0,0.6,2100.0,4752.0,0.44,5.0,1.0,5.0,1,1,1.0,1.0
7.0,8.0,0.88,630.0,1000.0,0.63,1.0,4.0,0.25,1,1,1.0,0.0
13.0,13.0,1.0,3024.0,2304.0,1.31,6.0,6.0,1.0,1,1,1.0,0.0
14.0,11.25,1.24,2205.0,2135.12,1.03,1.0,5.25,0.19,1,8,0.12,0.0
3.0,11.17,0.27,300.0,2149.0,0.14,2.0,5.33,0.38,1,6,0.17,0.0
20.0,19.0,1.05,5040.0,7290.0,0.69,1.0,9.0,0.11,1,1,1.0,0.0
5.0,13.0,0.38,540.0,1920.0,0.28,3.0,6.0,0.5,1,1,1.0,0.0
9.0,11.33,0.79,1050.0,2063.0,0.51,4.0,5.33,0.75,1,3,0.33,0.0
5.0,11.0,0.45,450.0,1344.0,0.33,3.0,5.0,0.6,1,1,1.0,0.0
9.0,9.75,0.92,1350.0,1767.0,0.76,4.0,4.5,0.89,1,4,0.25,0.0
10.0,11.6,0.86,2048.0,2864.0,0.72,4.0,5.2,0.77,1,5,0.2,0.0
16.0,10.0,1.6,2079.0,1125.0,1.85,7.0,4.0,1.75,1,1,1.0,1.0
4.0,7.4,0.54,428.0,1093.4,0.39,2.0,3.6,0.56,2,5,0.4,0.0
8.0,17.0,0.47,768.0,3584.0,0.21,1.0,8.0,0.12,1,1,1.0,0.0
3.0,9.33,0.32,300.0,1545.33,0.19,2.0,4.0,0.5,1,3,0.33,0.0
18.0,2.0,9.0,3520.0,240.0,14.67,8.0,1.0,8.0,1,1,1.0,1.0
17.0,1.0,17.0,2970.0,180.0,16.5,8.0,1.0,8.0,1,1,1.0,1.0
14.0,13.0,1.08,1800.0,1960.0,0.92,6.0,1.0,6.0,1,1,1.0,1.0
8.75,6.0,1.46,1291.75,882.0,1.46,4.12,3.0,1.37,8,5,1.6,1.0
16.0,18.0,0.89,4914.0,4704.0,1.04,7.0,8.0,0.88,1,1,1.0,0.0
6.6,12.5,0.53,801.2,2272.5,0.35,1.0,1.0,1.0,5,4,1.25,0.0
11.0,3.0,3.67,1350.0,320.0,4.22,5.0,1.0,5.0,1,1,1.0,1.0
11.0,7.0,1.57,2016.0,700.0,2.88,5.0,4.0,1.25,1,1,1.0,1.0
16.0,20.0,0.8,3780.0,4860.0,0.78,7.0,9.0,0.78,1,1,1.0,0.0
20.0,8.4,2.38,5292.0,1126.2,4.7,9.0,4.0,2.25,1,5,0.2,0.0
15.0,6.0,2.5,2200.0,600.0,3.67,1.0,1.0,1.0,1,1,1.0,1.0
18.0,16.0,1.12,3920.0,3822.0,1.03,1.0,7.0,0.14,1,1,1.0,0.0
16.0,10.0,1.6,2640.0,1620.0,1.63,1.0,4.0,0.25,1,1,1.0,1.0
10.0,5.0,2.0,1120.0,480.0,2.33,1.0,3.0,0.33,1,1,1.0,1.0
4.0,10.0,0.4,400.0,1563.0,0.26,1.0,4.5,0.22,1,2,0.5,0.0
2.0,5.0,0.4,240.0,576.0,0.42,1.0,3.0,0.33,1,1,1.0,0.0
13.0,2.0,6.5,1920.0,216.0,8.89,6.0,1.0,6.0,1,1,1.0,1.0
19.0,3.0,6.33,4158.0,300.0,13.86,9.0,2.0,4.5,1,1,1.0,1.0
11.0,13.5,0.81,1658.17,2178.0,0.76,1.0,1.0,1.0,6,2,3.0,1.0
1.0,19.0,0.05,180.0,5760.0,0.03,1.0,9.0,0.11,1,1,1.0,0.0
19.0,13.0,1.46,4224.0,1680.0,2.51,9.0,6.0,1.5,1,1,1.0,1.0
12.67,6.0,2.11,2389.33,664.0,3.6,6.0,3.0,2.0,3,2,1.5,1.0
11.0,20.0,0.55,1890.0,5760.0,0.33,5.0,9.0,0.56,1,1,1.0,0.0
15.0,10.2,1.47,3200.0,1747.0,1.83,7.0,4.6,1.52,1,5,0.2,0.0
15.0,20.0,0.75,3240.0,5040.0,0.64,7.0,9.0,0.78,1,1,1.0,0.0
1.0,16.25,0.06,192.0,3802.5,0.05,1.0,7.25,0.14,1,8,0.12,0.0
1.0,4.0,0.25,180.0,400.0,0.45,1.0,2.0,0.5,1,1,1.0,0.0
13.0,8.0,1.62,1764.0,864.0,2.04,1.0,1.0,1.0,1,1,1.0,1.0
14.0,15.38,0.91,2940.0,2841.0,1.03,6.0,1.0,6.0,1,8,0.12,0.0
12.0,15.0,0.8,2547.5,3474.0,0.73,5.38,6.5,0.83,8,2,4.0,1.0
18.0,11.12,1.62,3920.0,1964.0,2.0,8.0,5.25,1.52,1,8,0.12,0.0
7.0,1.0,7.0,700.0,171.0,4.09,4.0,1.0,4.0,1,2,0.5,1.0
17.0,11.0,1.55,3150.0,1304.0,2.42,8.0,1.0,8.0,1,3,0.33,1.0
8.0,13.67,0.59,1114.43,3052.0,0.37,3.71,6.17,0.6,7,6,1.17,0.0
12.0,9.8,1.22,1800.0,1263.0,1.43,5.0,1.0,5.0,1,5,0.2,0.0
9.0,2.0,4.5,1050.0,240.0,4.38,4.0,1.0,4.0,1,1,1.0,1.0
20.0,10.0,2.0,4116.0,1680.0,2.45,9.0,4.0,2.25,1,1,1.0,1.0
2.0,3.0,0.67,240.0,270.0,0.89,1.0,2.0,0.5,1,1,1.0,1.0
5.0,17.6,0.28,480.0,4568.2,0.11,3.0,8.0,0.38,1,5,0.2,0.0
9.0,12.38,0.73,1344.0,1794.88,0.75,4.0,1.0,4.0,1,8,0.12,0.0
12.0,19.0,0.63,3072.0,6048.0,0.51,5.0,9.0,0.56,1,1,1.0,1.0
13.0,18.0,0.72,1540.0,3740.0,0.41,6.0,1.0,6.0,1,2,0.5,0.0
7.0,8.0,0.88,576.0,1200.0,0.48,1.0,4.0,0.25,1,1,1.0,0.0
7.75,9.33,0.83,1112.5,1881.83,0.59,3.75,4.5,0.83,4,6,0.67,0.0
19.0,11.0,1.73,4320.0,1800.0,2.4,1.0,5.0,0.2,1,1,1.0,1.0
7.0,5.75,1.22,720.0,667.5,1.08,1.0,1.0,1.0,1,4,0.25,0.0
5.67,10.5,0.54,824.0,2037.5,0.4,2.67,4.83,0.55,3,6,0.5,0.0
12.29,12.5,0.98,2070.86,2178.5,0.95,5.71,1.0,5.71,7,8,0.88,1.0
10.0,3.0,3.33,1008.0,288.0,3.5,4.0,2.0,2.0,1,1,1.0,1.0
17.0,14.5,1.17,4680.0,2464.0,1.9,8.0,1.0,8.0,1,2,0.5,1.0
9.0,20.0,0.45,960.0,6048.0,0.16,1.0,9.0,0.11,1,1,1.0,0.0
10.12,8.0,1.26,1572.75,1620.0,0.97,4.62,3.5,1.32,8,2,4.0,1.0
13.43,11.14,1.21,2233.71,2147.43,1.04,6.14,5.29,1.16,7,7,1.0,0.0
16.0,17.0,0.94,2700.0,3564.0,0.76,7.0,8.0,0.88,1,1,1.0,1.0
12.0,9.75,1.23,1512.0,1801.5,0.84,5.0,4.75,1.05,1,4,0.25,0.0
3.0,17.0,0.18,300.0,4536.0,0.07,2.0,8.0,0.25,1,1,1.0,0.0
2.0,1.0,2.0,216.0,192.0,1.12,1.0,1.0,1.0,1,1,1.0,1.0
17.0,6.0,2.83,4368.0,768.0,5.69,8.0,3.0,2.67,1,1,1.0,1.0
9.0,12.62,0.71,1152.0,2333.88,0.49,4.0,5.88,0.68,1,8,0.12,0.0
15.0,9.25,1.62,2560.0,1495.0,1.71,1.0,1.0,1.0,1,8,0.12,0.0
7.0,15.0,0.47,864.0,3528.0,0.24,4.0,7.0,0.57,1,1,1.0,0.0
17.0,3.0,5.67,3234.0,300.0,10.78,1.0,1.0,1.0,1,1,1.0,1.0
20.0,10.0,2.0,6400.0,1917.12,3.34,9.0,4.75,1.89,1,8,0.12,0.0
8.0,9.75,0.82,800.0,1745.25,0.46,4.0,1.0,4.0,1,4,0.25,0.0
4.0,7.0,0.57,384.0,840.0,0.46,2.0,4.0,0.5,1,1,1.0,0.0
19.0,18.0,1.06,5040.0,4320.0,1.17,9.0,8.0,1.12,1,1,1.0,1.0
2.0,4.0,0.5,189.0,384.0,0.49,1.0,2.0,0.5,1,1,1.0,0.0
5.0,14.0,0.36,420.0,1944.0,0.22,3.0,1.0,3.0,1,1,1.0,0.0
18.0,8.2,2.2,3969.0,1359.6,2.92,1.0,3.8,0.26,1,5,0.2,0.0
